apt_id,region_code,addr,primary_no,sub_no,apt_title,n_apt_title,lat,lon,sectors,construction,completion,households,heating_system,heating_resource,max_floor,min_floor,parking_capacity,parking_lot,community,min_area_supply,max_area_supply,min_area_use,max_area_use,addr_street,addr_short,executor,homepage,telno,category1,category2,available_date,ncode,in_use,deal_cnt,lease_cnt,rent_cnt,sido_code,dong_code,gubun,join_key,area_supply_pyeong
1165010710,11650,서울시 서초구 반포동 20-43,20,43,반포동,반포자이,37.507538,127.013605,44동,GS건설(주),2009,3410,지역난방,열병합,29층,20층,1.78,0,1,84.23,301.38,59.97,244.97,서울시 서초구 신반포로 270,서울시 서초구 반포동,,,,,,,22853,1,291,360,346,11,1165010700,아파트,1165000200043,35
1165010711,11650,서울시 서초구 반포동 2-12,2,12,반포동,아크로리버파크,37.506089,126.993312,15동,대림산업(주),2016,1612,지역난방,열병합,38층,3층,1.84,0,0,78.68,318.75,59.95,234.97,서울시 서초구 신반포로15길 19,서울시 서초구 반포동,,,,,,,107613,1,109,120,100,11,1165010700,아파트,1165000020012,34
1165010709,11650,서울시 서초구 반포동 18-1,18,1,반포동,래미안퍼스티지,37.503005,126.999724,28동,삼성물산(주),2009,2444,지역난방,열병합,32층,23층,1.78,0,1,86.57,268.8,59.89,222.76,서울시 서초구 반포대로 275,서울시 서초구 반포동,,,,,,,23759,1,112,107,107,11,1165010700,아파트,1165000180001,34
1165010643,11650,서울시 서초구 잠원동 73,73,0,잠원동,신반포2차,37.509497,127.001148,13동,한신공영(주),1978,1572,지역난방,열병합,12층,12층,2.09,1,0,74.18,164.72,68.91,150.58,서울시 서초구 신반포로23길 41,서울시 서초구 잠원동,,,,,,,531,1,69,151,39,11,1165010600,재건축,1165000730000,35
1165010860,11650,서울시 서초구 서초동 1335,1335,0,서초동,서초그랑자이,37.489133,127.025992,9동,지에스건설(주),2021,1446,지역난방,열병합,35층,30층,2,0,1,83.85,192.97,59.98,148.5,서울시 서초구 효령로 391,서울시 서초구 서초동,,,,,,,126726,1,63,48,39,11,1165010800,아파트,1165013350000,34
1165010638,11650,서울시 서초구 잠원동 70,70,0,잠원동,신반포4차,37.508702,127.006283,12동,한신공영(주),1979,1212,지역난방,열병합,13층,12층,1,1,0,103.57,168.64,96.48,155,서울시 서초구 잠원로 37-48,서울시 서초구 잠원동,,,,,,,532,1,83,112,48,11,1165010600,재건축,1165000700000,32
1165010714,11650,서울시 서초구 반포동 30-26,30,26,반포동,반포리체,37.503762,127.013485,9동,"삼성물산(주),대림산업",2011,1119,지역난방,열병합,35층,30층,1.5,0,1,84.73,172.28,59.99,138.72,서울시 서초구 고무래로 35,서울시 서초구 반포동,,,,,,,101887,1,42,53,49,11,1165010700,아파트,1165000300026,34
1165010857,11650,서울시 서초구 서초동 1755,1755,0,서초동,래미안리더스원,37.490773,127.028121,12동,삼성물산(주),2020,1317,지역난방,열병합,35층,15층,1.91,0,1,84.03,299.89,59.97,238.73,서울시 서초구 서운로 62,서울시 서초구 서초동,,,,,,,124311,1,61,40,51,11,1165010800,아파트,1165017550000,33
1165010851,11650,서울시 서초구 서초동 1685,1685,0,서초동,삼풍,37.499179,127.016033,24동,"현대,우성",1988,2390,지역난방,열병합,15층,9층,1.58,1,0,107.48,192.9,79.47,165.92,서울시 서초구 서초중앙로 200,서울시 서초구 서초동,,,,,,,481,1,40,39,19,11,1165010800,아파트,1165016850000,32
1165010703,11650,서울시 서초구 반포동 1124,1124,0,반포동,반포주공1단지,37.500802,126.988428,99동,대한주택공사,1973,3590,중앙난방,도시가스,6층,5층,0.55,1,-,72.73,204.96,72.51,196.8,서울시 서초구 신반포로 32,서울시 서초구 반포동,,,,,,,453,1,195,0,0,11,1165010700,재건축,1165011240000,22
